screen_name,id,location,description,url,followers,friends,status_counts
GerryConnolly,78445977,Virginia's 11th District,Proudly representing Virginia's 11th District,,51454,244,7553
SenatorIsakson,78403308,GA & DC,"U.S. Senator Johnny Isakson, R-Ga. | Committees: Veterans' Affairs, Chairman; Ethics, Chairman; Foreign Relations; HELP; Finance.
Keep comments family friendly.",http://t.co/n3mMYfmg5C,68006,459,6475
RulesReps,78369108,"Washington, DC","The official Twitter page for the House Rules Committee, Republicans. Ranking Republican @TomColeOK04.",https://t.co/vSIFSH4BsU,17041,1365,3029
SenAlexander,76649729,"Maryville, TN",7th generation Tennessean born and raised in Maryville #LowerHealthCareCosts #MakingCollegeWorthIt #OpioidCrisisResponse #RestoreOurParks,https://t.co/NVVkJ8g3Rp,108832,485,7144
SenStabenow,76456274,"Washington, DC",Representing the people from the Great State of Michigan in the United States Senate,https://t.co/pSdzZMCUzw,108657,2286,4535
Robert_Aderholt,76452765,"Haleyville, AL",Proudly serving the 4th Congressional District of Alabama in the United States House of Representatives,,26518,386,1663
CongMikeSimpson,76132891,"Washington, D.C.",Proudly representing Idaho's 2nd Congressional District,http://t.co/lRNTKPfcmE,17512,202,1163
HouseForeignGOP,75367781,"Washington, DC","Official Twitter for the House Committee on Foreign Affairs | Lead Republican, @RepMcCaul",https://t.co/ZTZYXt2mCY,41593,4299,13498
SenPatRoberts,75364211,"Kansas, USA",Senior Senator from Kansas. Chairman of @SenateAgGOP.,,74696,916,6618
BillPascrell,74508260,"Paterson, NJ","Representing the 9th District of New Jersey in the House of Representatives. Proud Patersonian. Member, Ways & Means Committee.",https://t.co/q9EtRgyxbk,50113,141,4713
HASCDemocrats,74294786,"Washington, DC","Oversight and funding of the Department of Defense, the United States Armed Forces, and portions of the Department of Energy. Chairman: @RepAdamSmith",https://t.co/R7h5VvSWa1,18314,812,2444
SenBobCorker,73303753,Tennessee,Official news and updates from former United States Senator Bob Corker (R-Tennessee).,https://t.co/VmjkHGcALo,398543,561,4272
HouseForeign,61206798,"Washington, DC","House committee responsible for foreign policy legislation and oversight | @RepEliotEngel, Chairman | #HFAC",https://t.co/ECPx7iSNMX,52778,123,10137
SenatorTomUdall,60828944,Santa Fe and Washington,United States Senator from New Mexico.,http://t.co/ETWpVFzOcZ,171181,343,6745
RepAdamSmith,58928690,Washington's 9th District,Proudly serving Washington State's 9th District. Chairman of the House Armed Services Committee @HASCDemocrats,http://t.co/bEAIcyoDki,35162,1936,4159
RepMikeQuigley,56864092,"Chicago, IL; Washington, DC","Representing Illnois' 5th District. House Appropriator, Intelligence Committee member, amateur hockey player, proud Cubs fan. He/Him.",https://t.co/6va5Z6HIQf,46382,2103,12360
DrPhilRoe,52503751,East Tennessee,"Official Account of Rep. Phil Roe, MD, serving TN-01. Ranking Member of @HouseVetAffairs . Member of @EdWorkforce & co-chair of @gopdoccaucus",http://t.co/eWYX8wFvy7,19423,295,3423
RepMikeTurner,51228911,"Washington, DC and Dayton, OH","I proudly represent the Tenth District of Ohio. Montgomery County, Greene County and Fayette County. #OH10",http://t.co/hhH39SKxLO,28655,1084,2869
RepJohnLarson,50452197,"Hartford, CT",Member of Congress representing the First  District of Connecticut.,https://t.co/2WXsNSQ5rW,25764,696,3843
RepMcClintock,50152441,"Washington, DC","United States Representative, 4th District of California",http://t.co/M52pLVZcTJ,15459,5,528
SteveKingIA,48117116,"Washington, DC","U.S. Congress, 4th Congressional District of Iowa #IA04",,118913,207,2875
brianschatz,47747074,"ÜT: 19.72105,-155.087417",United States Senator from Hawaii. Dad. Climate Hawk. Appropriator. Chief Deputy Whip.,https://t.co/TFoJ19ZTFY,249375,2273,12917
SenSherrodBrown,43910797,"Cleveland, OH",Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.,http://t.co/YX0sj7bkFG,379954,221,6448
FinancialCmte,42924141,"Washington, D.C.",U.S. House Committee on Financial Services Republicans – Ranking Member @PatrickMcHenry,https://t.co/EKkSEK5LqC,24435,3163,10366
aguilarpete,41533245,"Redlands, CA",Dad. Husband. Former pothole filling Mayor and elected Representative of California's 31st district. Living the dream. Personal account,https://t.co/tTc0XSgDq9,2753,629,733
RepSmucker,41417564,"Lancaster, PA",Representing the people of #PA11 in the U.S. House of Representatives. Husband & father.,https://t.co/YKMSx3njz4,8227,255,3910
RepJerryNadler,40302336,"New York, NY",Representing parts of Manhattan and Brooklyn. Proud to serve as the Chair of @HouseJudiciary. Follow me at https://t.co/eAS0pRYbYu,https://t.co/keKmu0YhMW,261879,1990,6223
USRepMikeDoyle,39249305,"Pittsburgh, PA",U.S. Member of Congress representing PA's 18th District,https://t.co/lnbMOLPFwX,19638,86,1907
RobinLynneKelly,38285038,"Matteson, Illinois","Congresswoman, 2nd Illinois' Congressional district",https://t.co/VpGqIcMLEg,5925,4419,7143
DorisMatsui,38254095,"Sacramento, CA",Representing California's 6th Congressional District. Member of the @EnergyCommerce Committee.,http://t.co/dt820eUUHc,37000,9187,3497
MarioDB,37094727,"Florida & Washington, DC","I am proud to represent Florida's 25th Congressional District and serve on @HouseAppropsGOP as Transportation, Housing + Urban Development Ranking Member",https://t.co/GyXi8NDS8j,55759,244,7922
repdonyoung,37007274,"Ft. Yukon, AK","Teacher, State Rep, State Senator, Congressman for ALL Alaska for the last 46 years and Dean of the U.S. House of Representatives.",https://t.co/igN7z1qk5z,19899,659,1879
RepMaxineWaters,36686040,"Los Angeles/Washington, D.C.",Proudly serving the people of California's 43rd District in Congress. Chairwoman of the House Financial Services Committee (@FSCDems).,https://t.co/ODIbQQR7g9,1155571,671,2966
TransportGOP,35829796,"Washington, D.C.","Transportation & Infrastructure Committee:  Aviation, Maritime, Highway, Transit, Railroad, Pipeline, Hazmat, Water Resource. 
https://t.co/U77pFeIWjV",https://t.co/Nuz80ra8Hq,19409,768,8468
RepMikeRogersAL,33977070,"Washington, D.C./Anniston, AL",I am proud to represent Alabama's Third Congressional District.,http://t.co/xtRIwQK2MV,26519,2993,5076
RepBrianHiggins,33576489,"WNY and Washington, DC",Official account for the Office of Congressman Brian Higgins (NY-26) representing portions of Erie and Niagara counties. http://t.co/Cpl0TlH2JW,http://t.co/O0L2n6ZElF,24067,3659,14615
RepJoseSerrano,33563161,Bronx NY-Wash.DC,"Congressman representing #TheBronx, New York. Chairman of @AppropsDems Commerce, Justice & Science Subcommittee. Dean of @HispanicCaucus",http://t.co/jXKviVB0sc,30964,1271,4957
repgregwalden,32010840,Oregon,Proudly serving the people of Oregon's Second Congressional District.| Republican Leader of @housecommerce,https://t.co/Tehr6W0tBF,30148,178,2819
FrankPallone,31801993,#NJ,"The official Twitter account of Congressman Frank Pallone, Jr. (D), of New Jersey's 6th district, Chairman of @EnergyCommerce Committee.",https://t.co/jZroKb15fq,34920,2910,14141
jahimes,31611298,CT and DC,Connecticut Congressman. Reader. Runner. Swimmer. Apiarist. And I make maple syrup. And mead.,https://t.co/bX3QkwNAXG,92722,370,10316
WaysMeansCmte,31128529,"Washington, DC","Official twitter account for Ways & Means – senior committee with jurisdiction over health care, trade, taxes, and Social Security. Chaired by @RepRichardNeal.",https://t.co/Ld6ZbDnPIe,42108,265,12951
OversightDems,31122582,"Washington, DC",Chairman @RepCummings|Committee on Oversight and Reform|RT and follows do not equal endorsements|Tweets from Cummings signed EEC,https://t.co/ILjlVmjNS6,141152,5143,12072
EnergyCommerce,30929600,"Washington, DC",Official Twitter of the House Committee on Energy and Commerce. Chaired by @FrankPallone.,https://t.co/aYYYBq8sBe,16665,431,7573
AppropsDems,30912937,"Washington, DC",Chairwoman @NitaLowey and the House Appropriations Committee are investing in America’s working families. Updates from staff.,https://t.co/P0gSNa8fVT,18401,574,5650
BradSherman,30216513,"Sherman Oaks, CA",Proudly serving California's San Fernando Valley in the U.S. Congress. Admission: Some tweets are prepared by my staff on my behalf. RTs are not an endorsement.,https://t.co/SyFUwfPtR8,50373,667,2198
RepAdamSchiff,29501253,"Burbank, CA",Representing California's 28th Congressional District. Chairman of the House Intelligence Committee (@HouseIntel).,https://t.co/uxaSLX8uQ7,1567030,788,5353
repjohnlewis,29450962,"Atlanta, GA","Congressman, Georgia's Fifth Congressional District",http://t.co/jkhd3kZYNd,1108104,146,1970
SenSanders,29442313,Vermont/DC,U.S. Senator Bernie Sanders of Vermont is the longest-serving independent in congressional history.,http://t.co/8AS4FI1oge,8727675,2267,20691
SenJeffMerkley,29201047,Oregon,U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1,https://t.co/uoOTYAkx5J,451679,905,10336
RepRaulGrijalva,28602948,"Washington, D.C.","Facebook- Raul M. Grijalva

Instagram- RepRaulGrijalva",http://t.co/IcLwlG7hqR,36859,363,5785
RepDianaDeGette,28599820,"Denver, CO","Member of Congress, Colorado's 1st Congressional District. Senior member of Energy and Commerce Committee.",http://t.co/ADHTXH6MGD,50068,11021,5231
PatrickMcHenry,27676828,"Denver, NC",I represent the citizens of North Carolina’s 10th District in the United States Congress.,http://t.co/fKHDu4b6V5,28743,3647,4965
RepWalterJones,26778110,Eastern North Carolina,Proudly representing the people of Eastern North Carolina. #NC03,http://t.co/G0tNMT3Ges,23815,880,2768
RepMcCaul,26424123,Texas' 10th District,Representing the 10th District of Texas | Leader of @houseforeigngop,https://t.co/4jvVzE7EQ5,33241,410,4165
RepGusBilirakis,26051676,"Palm Harbor, Fla.","Congressman for Florida’s 12th Congressional District, Committees: @HouseCommerce @HouseVetAffairs",https://t.co/l47jweLmYL,30956,1161,5755
congbillposey,25086658,"Rockledge, FL","Congressman from Florida's 8th district, representing the Space and Treasure Coasts",http://t.co/tUCU5eCWsh,23697,922,1301
RepSpeier,24913074,,"Fearless Fighter for women’s equality, LGBTQ rights & the disenfranchised. Proud mom of 2 kids & puppy Emma, wife & Rep for CA14, America's economic powerhouse!",https://t.co/kqVDVfirna,146463,21828,5927
RepHankJohnson,24745957,"Lithonia, GA; Washington","CBC Secretary, Chairman of the Courts, IP & Internet Subcommittee; Champion for working people",https://t.co/9yX6VnQSmY,37409,1005,5606
janschakowsky,24195214,"Chicago, IL","Official Twitter account for Rep. Jan Schakowsky, Illinois 9th Congressional District",https://t.co/qdNbWpywjL,44796,1406,8249
RepKenMarchant,23976316,"Irving and Washington, D.C.",Serving the 24th Congressional District of Texas | Member of @WaysandMeansGOP and House Ethics Committee,http://t.co/oo2nzXGA8N,26889,2080,5170
EleanorNorton,23600262,"Washington, DC",Member of the U.S. Congress representing the District of Columbia,https://t.co/gHzzk4LhKo,35309,1853,5356
davidcicilline,23593446,,Congressman for Rhode Island’s 1st District. DPCC Chair. Antitrust Subcommittee Chairman. #ForThePeople,,103612,5326,19709
TomColeOK04,23124635,Oklahoma,Proud to represent Oklahoma's Fourth District in the U.S. House of Representatives. Ranking Republican of @RulesReps. Staff moderated unless signed by me. -TC,https://t.co/btx4rGYBYy,23813,288,1547
housesciencegop,23103488,Washington D.C.,"Official Twitter page of the Committee on Science, Space, and Technology Republicans. Frank Lucas, Ranking Member https://t.co/wBe2jSx2Kk",https://t.co/nJ6MJDw1p9,165788,1349,4806
RepGregoryMeeks,22812754,"Queens, New York","Proudly serving the people of the 5th Congressional District of New York. For media inquiries, please contact andrei.vasilescu@mail.house.gov",https://t.co/YIqTnh2gac,28201,1029,5665
RepGwenMoore,22669526,"Washington, DC","Honored to represent Wisconsin’s 4th Congressional District. Proud mother, grandmother & great-grandmother. Loves poetry reading, knitting & crocheting.",https://t.co/ebeaMlYpu3,37223,2735,7264
KenCalvert,22545491,"Corona, CA ",Official Twitter Account for U.S. Representative Ken Calvert (CA-42),https://t.co/XcjXyjinJw,20937,298,5843
repjimcooper,22523087,"Nashville, Tennessee",Official feed of U.S. Rep. Jim Cooper. Blue Dog Democrat representing Nashville area in Congress. Married with 3 great kids. Tweets by Jim & staff.,http://t.co/oqGeCZBvPf,26355,728,3210
replouiegohmert,22055226,,"Member of Congress, representing the first district of Texas which encompasses over 12 counties stretching nearly 120 miles down the eastern border of Texas.",http://t.co/dvOOcVB1hy,241653,751,7684
HouseScience,22053641,"Washington, DC","News from the U.S. House of Representatives Committee on Science, Space, and Technology - May not represent the views of Members of the Committee",https://t.co/xcUymHRDBO,23188,888,6565
SenAmyKlobuchar,22044727,,Official Twitter account of United States Senator Amy Klobuchar from Minnesota. Tweets by Senator Klobuchar signed -AK.,https://t.co/bz6bwQJCwZ,33783,5279,531
LeaderHoyer,22012091,"Washington, DC","The Majority Leader of the U.S. House of Representatives, representing Maryland's Fifth Congressional District.",https://t.co/g3oF48msqg,121132,4496,18601
SenMarkey,21406834,MA,"Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",https://t.co/PvCpESuHno,162659,1374,14751
RoyBlunt,21269970,Missouri,Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri. Serves as @SenateRPC Chairman.,http://t.co/PG3SSnhQDI,108884,6958,12049
SenatorBurr,21157904,"Winston-Salem, NC","U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",http://t.co/MHZvAsvWrN,160245,899,3857
SenShelby,21111098,"Tuscaloosa, Alabama",The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,https://t.co/1iULT8X6Vz,83752,503,2353
RepPerlmutter,20552026,Colorado,"Member of Congress, proudly representing the 7th District of Colorado https://t.co/wLRJaGd9rX",http://t.co/NZmeXSnqTP,33695,4523,5769
RepSchrader,20545793,Oregon,Proudly representing Oregon's 5th Congressional District,http://t.co/idnXprkzal,26238,780,2443
VernBuchanan,20467163,Florida's 16th District,U.S. Congressman,http://t.co/Uq79SDySq2,29431,10372,2703
HASCRepublicans,20192403,"Washington, DC",The House Armed Services Committee Republicans; Twitter feed of the latest committee news and updates,http://t.co/JbIgCpT9T7,18033,864,4903
RepPeteOlson,20053279,"Washington, DC / Houston, TX",Proudly representing TX-22 in Congress. Follow me on Facebook: http://t.co/2aP7aRlj3f and Instagram: https://t.co/hBZNAgZcuI,http://t.co/fQR5L3fWi8,11767,2160,8355
PeterRoskam,20015903,"Wheaton, IL","Husband, father, and former U.S. Representative for the 6th District of Illinois.",,29330,4433,7064
RepKevinBrady,19926675,"The Woodlands, Texas","Dad. Husband. Top Republican @WaysandMeansGOP. Loves: Baseball, Texas, tax reform.",https://t.co/8xnAt5cC74,50415,748,12933
GOPLeader,19739126,"Bakersfield, CA","Republican Leader and Representative of California's 23rd District in the House of Representatives.
https://t.co/ZqWsqD6L0T",https://t.co/eB1lud6Yi3,421868,1380,11180
SenatorCollins,19726613,Maine,"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",http://t.co/GC3gCGTqQX,511162,971,3203
repbenraylujan,19318314,,Representing New Mexico’s 3rd Congressional District. Assistant Speaker in the House of Representatives. @EnergyCommerce Committee & Member of @HispanicCaucus.,https://t.co/ssjfotQY45,24177,829,3521
CongressmanGT,18967498,"Howard, Pennsylvania",I have the distinct honor and privilege to represent and serve the citizens of Pennsylvania's 15th Congressional District. #PA15,http://t.co/DvqrekKjtb,20814,2961,7571
senrobportman,18915145,Ohio,United States Senator from the Buckeye State.,https://t.co/IR7Ky4qOaO,141028,4993,16447
JimLangevin,18909919,"Warwick, RI and Washington, DC",U.S. Congressman for Rhode Island's Second District,https://t.co/YIM4FH08Bf,26136,4616,11487
JeffFortenberry,18805303,"Lincoln, NE / Washington, D.C.",U.S. Representative for the First Congressional District of Nebraska,http://t.co/beLyQVqp1e,21987,2190,3669
RepScottPerry,18773159,,"Husband, Father of two young daughters, Small Businessman and Soldier. Congressman - 10th District (PA).",http://t.co/eu7DgRNJJj,21878,2737,3462
RepSires,18696134,"Washington, DC",U.S. Representative for New Jersey's 8th Congressional District,http://t.co/HW6WuZesn2,22352,254,3943
SenatorMenendez,18695134,"New Jersey, USA",U.S. Senator from New Jersey. 🇺🇸 Proud father of Alicia & Rob. Proud grandfather of Evangelina & Ofelia.,https://t.co/P6lBJPkIxI,168041,994,11228
JerryMoran,18632666,Kansas,Official account of U.S. Senator Jerry Moran. Honored to represent Kansans in the U.S. Senate.,http://t.co/CBA3beMHNs,98610,2981,5728
RepPeteKing,18277655,"Seaford, New York",Representing New York's 2nd Congressional District,http://t.co/KPR17HxYvl,38687,100,2930
Jim_Jordan,18166778,"Washington, D.C. ",Proudly serving Ohio's beautiful fourth district. Ranking Member on @GOPoversight. Fighting to #DoWhatWeSaid,https://t.co/wd2j7YpRZm,786372,4338,3584
ChrisVanHollen,18137749,"Maryland, USA",U.S. Senator for Maryland,https://t.co/TrgkGknGmN,162327,608,4793
lisamurkowski,18061669,"Alaska & Washington, D.C.",Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,https://t.co/I9sMLI6ela,267351,568,7924
JudgeCarter,18030431,#TX31 ,U.S. Congressman proudly serving the 31st District of Texas & @forthood. Former Judge. Proud @TexasTech Red Raider.,https://t.co/iPPDu1iB3W,15630,859,6299
cathymcmorris,17976923,"Spokane, WA & Washington, DC",Proudly serving Washington's beautiful 5th District in Congress. Pioneer. Trailblazer. Leader. Working Mom of Three. Wife. Ability Advocate. Trustbuilder.,https://t.co/VmKvrs9Ni1,49711,5106,11205
dinatitus,17907578,"Fabulous Las Vegas, Nevada","Representative of Nevada's First District. Tweeting politics, culture & #OnlyInDistrict1.",https://t.co/nJxR59HXbP,9507,1260,7178
SenSchumer,17494010,"New York, NY",Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement,https://t.co/8Vw6E2f47h,1936528,25559,15898
EdLaborGOP,16424044,"Washington, D.C.","Fostering the best opportunities for students to learn, workers to succeed, and employers to grow. Republican Leader Rep. @VirginiaFoxx.",https://t.co/4vVHntvdqd,15044,751,6947
virginiafoxx,16256269,"Banner Elk, NC",Congresswoman Virginia Foxx. Conservative representing North Carolina's Fifth District.,http://t.co/v3FwVSsRH1,24659,1391,3937
repblumenauer,15954997,"Portland, OR",Progressive Democrat proudly representing Oregon’s 3rd Congressional District.,https://t.co/tSU5eJrWdN,66072,1229,4158
SpeakerPelosi,15764644,San Francisco,"Speaker of the House, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur.",https://t.co/jztVqrP3x5,3233289,361,9465
michaelcburgess,15751083,"Washington, DC/Lake Dallas, TX","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life",http://t.co/qj3aLBJUa9,28692,1970,5828
marcorubio,15745368,United States,"Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp. Official tweets @SenRubioPress & Campaign tweets @TeamMarco",https://t.co/xm4vZLmGV0,3981055,2559,11981
RepShimkus,15600527,"Illinois, USA",I represent the 15th Congressional District of Illinois and Chair the @HouseCommerce Environment Subcommittee.,https://t.co/mFzyexaRq4,30890,1085,10427
boblatta,15394954,,Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Republican Leader of the Communications and Technology Subcommittee.,https://t.co/CIaeduqh2k,38173,2935,7290
RobWittman,15356407,"Montross, VA","humble Rep. of VA01; proud husband, father, grandfather, and conservative; avid outdoorsman; Ranking Member of Seapower & Projection Forces Subcommittee",https://t.co/5zwhvl7HVu,27957,6683,5920
ChrisCoons,15324851,"Wilmington, DE","Father, husband, U.S. Senator from Delaware",https://t.co/xBCHCdwhCz,146844,2462,12145
chelliepingree,14984637,Maine -- the best place to be!,"Farmer, mother, Maine islander, Member of Congress and @AppropsDems, lover of root vegetables.",https://t.co/vYvpiUfhcg,27616,990,4832
GrahamBlog,14845376,"Washington, DC",Twitter feed for U.S. Senator Lindsey Graham of South Carolina.,http://t.co/x7LZALizg6,119178,2062,4232
SenateGOP,14344823,"Washington, D.C.",News and updates from Republican senators and their staff. Chairman @SenJohnBarrasso.,https://t.co/LRez78SkoK,871156,27728,24742
RepTimRyan,13491312,"Warren, OH",Congressman for Ohio’s 13th District. Follow me on Instagram: https://t.co/Yg0NJpu0wF,https://t.co/0WxOy7ihZ8,80792,2514,7616
JohnCornyn,13218102,"Austin, Texas","Mainly news I find interesting, pics, and opinions. Honored to represent the great state of Texas in the US Senate. RTs =/= endorsements",,233096,11736,33087
WaysandMeansGOP,12788332,"Washington, D.C.","The Senior Committee, with jurisdiction over taxes, trade, healthcare, welfare, and Social Security",https://t.co/RORoP6Sbor,41885,557,10180
SteveDaines,11651202,"Bozeman, MT",Married 32 years to sweet Cindy. Parents of four. Grandpa to one. Three dogs. Serving the people of Montana in the U.S. Senate. 🇺🇸,https://t.co/6cQwcMCeGt,52392,651,6052
ChuckGrassley,10615232,Iowa,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",https://t.co/CM45Tl33ts,451468,13678,8358
MarkWarner,7429102,Virginia,"Serving Virginia in the US Senate. Vice Chairman, Intel Committee. Dad, Husband, Budget Wonk. Previous: Serial entrepreneur, business guy, 69th Governor of Va",https://t.co/sIM9jRW0rP,455638,24282,9287
JimInhofe,7270292,Oklahoma,United States Senator from the great state of Oklahoma.,http://t.co/MsjJPG2F5l,54298,349,2233
JohnBoozman,5558312,Arkansas,"United States Senator for Arkansas serving on the Agriculture, Appropriations, EPW and Veterans’ Affairs committees. Contact: 202-224-4843 #ServingAR #ARinDC",https://t.co/AogvCCLB3S,86656,795,5516
